Filename,Shape,Affine Matrix,Orientation
20220111_pre_OP_WIP_DelRec_-_SWIp_20220111014643_603_e3_ph.nii.gz,"(512, 512, 40)","[[ 4.29668844e-01  3.96214332e-03  2.71416246e-03 -1.12814232e+02]
 [-4.00346052e-03  4.23313051e-01  3.42714548e-01 -1.04939186e+02]
 [ 1.04471910e-04 -7.36322477e-02  1.97041798e+00 -1.31385002e+01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('R', 'A', 'S')"
20220111_pre_OP_WIP_DelRec_-_SWIp_20220111014643_603_e4.nii.gz,"(512, 512, 40)","[[ 4.29668844e-01  3.96214332e-03  2.71416246e-03 -1.12814232e+02]
 [-4.00346052e-03  4.23313051e-01  3.42714548e-01 -1.04939186e+02]
 [ 1.04471910e-04 -7.36322477e-02  1.97041798e+00 -1.31385002e+01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('R', 'A', 'S')"
20220111_pre_OP_WIP_DelRec_-_SWIp_20220111014643_603_e4_ph.nii.gz,"(512, 512, 40)","[[ 4.29668844e-01  3.96214332e-03  2.71416246e-03 -1.12814232e+02]
 [-4.00346052e-03  4.23313051e-01  3.42714548e-01 -1.04939186e+02]
 [ 1.04471910e-04 -7.36322477e-02  1.97041798e+00 -1.31385002e+01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('R', 'A', 'S')"
20220111_pre_OP_WIP_PWI_Gadovist_20220111014643_1401.nii.gz,"(256, 256, 24, 40)","[[-8.98398459e-01  8.28448217e-03  4.07123845e-03  1.11474129e+02]
 [ 8.37087259e-03  8.85109127e-01  5.14071167e-01 -1.10953156e+02]
 [-2.18441259e-04 -1.53958336e-01  2.95562315e+00 -7.83388519e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('L', 'A', 'S')"
20220111_pre_OP_WIP_SWIp_20220111014643_601.nii.gz,"(512, 512, 40)","[[ 4.29668844e-01  3.96214332e-03  2.71416246e-03 -1.12814232e+02]
 [-4.00346052e-03  4.23313051e-01  3.42714548e-01 -1.04939186e+02]
 [ 1.04471910e-04 -7.36322477e-02  1.97041798e+00 -1.31385002e+01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('R', 'A', 'S')"
20220111_pre_OP_WIP_SWIp_20220111014643_601_ph.nii.gz,"(512, 512, 40)","[[ 4.29668844e-01  3.96214332e-03  2.71416246e-03 -1.12814232e+02]
 [-4.00346052e-03  4.23313051e-01  3.42714548e-01 -1.04939186e+02]
 [ 1.04471910e-04 -7.36322477e-02  1.97041798e+00 -1.31385002e+01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('R', 'A', 'S')"
20220111_pre_OP_WIP_T1_SE_SAG_20220111014643_701.nii.gz,"(480, 480, 23)","[[-4.41839034e-03  6.50267466e-04  5.99973726e+00 -6.77795334e+01]
 [-4.72058177e-01  8.21086243e-02 -5.59028424e-02  1.02885208e+02]
 [ 8.21111128e-02  4.72078830e-01  1.45880680e-03 -1.21232346e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('P', 'S', 'R')"
20220111_pre_OP_WIP_T1_SE_TRA_20220111014643_501.nii.gz,"(512, 512, 25)","[[-4.49107677e-01  9.96973272e-03  8.14247876e-03  1.09417168e+02]
 [ 9.92671680e-03  4.42463011e-01  1.02814269e+00 -1.19045937e+02]
 [-1.10792706e-03 -7.69712776e-02  5.91124773e+00 -3.94735489e+01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('L', 'A', 'S')"
20220111_pre_OP_WIP_T2_TSE_TRA_20220111014643_301.nii.gz,"(512, 512, 25)","[[-4.49107677e-01  9.96973272e-03  8.14247876e-03  1.09417168e+02]
 [ 9.92671680e-03  4.42463011e-01  1.02814269e+00 -1.19045937e+02]
 [-1.10792706e-03 -7.69712776e-02  5.91124773e+00 -3.94735489e+01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('L', 'A', 'S')"
20220111_pre_OP_dADC_20220111014643_203.nii.gz,"(112, 112, 75)","[[-1.99950552e+00  4.43869829e-02  2.71415547e-03  1.05723785e+02]
 [ 4.41954695e-02  1.96992230e+00  3.42713684e-01 -1.15586609e+02]
 [-4.93268389e-03 -3.42689514e-01  1.97041285e+00 -4.21001663e+01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('L', 'A', 'S')"
20220111_pre_OP_facFA_Color_20220111014643_204.nii.gz,"(112, 112, 75)","[[-1.99950552e+00  4.43869829e-02  2.71415547e-03  1.05723785e+02]
 [ 4.41954695e-02  1.96992230e+00  3.42713684e-01 -1.15586609e+02]
 [-4.93268389e-03 -3.42689514e-01  1.97041285e+00 -4.21001663e+01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('L', 'A', 'S')"
20220111_pre_OP_isoDTI_32DIR_20220111014643_202.nii.gz,"(112, 112, 75)","[[-1.99950552e+00  4.43869829e-02  2.71415547e-03  1.05723785e+02]
 [ 4.41954695e-02  1.96992230e+00  3.42713684e-01 -1.15586609e+02]
 [-4.93268389e-03 -3.42689514e-01  1.97041285e+00 -4.21001663e+01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('L', 'A', 'S')"
20220111_pre_OP_nNInNIrCBV_color_Gadovist_20220111014643_1403.nii.gz,"(256, 256, 24)","[[-8.98398459e-01  8.28448217e-03  4.07123845e-03  1.11474129e+02]
 [ 8.37087259e-03  8.85109127e-01  5.14071167e-01 -1.10953156e+02]
 [-2.18441259e-04 -1.53958336e-01  2.95562315e+00 -7.83388519e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('L', 'A', 'S')"
20220111_pre_OP_nNIrCBV_Gadovist_20220111014643_1402.nii.gz,"(256, 256, 24)","[[-8.98398459e-01  8.28448217e-03  4.07123845e-03  1.11474129e+02]
 [ 8.37087259e-03  8.85109127e-01  5.14071167e-01 -1.10953156e+02]
 [-2.18441259e-04 -1.53958336e-01  2.95562315e+00 -7.83388519e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('L', 'A', 'S')"
